input,output
write a function, you also instinctively understand its behavior-the function starts execution
generator function chooses to pause itself, it cannot be paused by any external code. During 
functions, a popular pattern is to write infinite loops and pause and resume them when needed. 
sent out of the generator function, and when the function is resumed
This is a very simple generator function. However, there are several interesting aspects that need 
Inside the function, the real magic is around the yield keyword. When the yield keyword is 
When we invoke the generator function, it is not executed like a normal function
function again, it will resume the execution to the next line from the point the execution was 
Once the entire function body is executed, any calls to next ( ) on the generator object have no 
value is received by yield when the function execution is resumed, and we can see the value 
generator function-it takes us to the first yield keyword and hence, any value passed to the first 
a bit of time to sink in. Like closures (see Chapter 3 . Functions), the prototype is one of those 
The functions in JavaScript are objects, and they contain methods and properties. Some of the 
If you define a simple function, f oo ( )
> function foo(a, b) { 
